productSKU,name,stockLevel,ratio,restockingLeadTime,total_ordered
GGOEGAFB035817," Men's  Zip Hoodie",15,0.26666666666666666,14,4
GGOEGAFB035814," Men's  Zip Hoodie",156,0.02564102564102564,14,4
GGOEAAWT061748,Android Onesie Gold,34,0.11764705882352941,9,4
GGOEGAEQ027915," Women's Short Sleeve Hero Tee White",51,0.0784313725490196,12,4
GGOEGAAJ032815," Men's Long & Lean Tee Charcoal",251,0.01593625498007968,19,4
GGOENEBB081499," Cam Indoor Security Camera - CA",72,0.05555555555555555,19,4
GGOEAAEH035213,Android Men's Vintage Henley,19,0.21052631578947367,6,4
GGOEGEVA022399,Micro Wireless Earbud,234,0.017094017094017096,16,4
GGOEGAAJ032613," Men's Short Sleeve Badge Tee Charcoal",46,0.08695652173913043,7,4
GGOEGAAX0105," Men's 100% Cotton Short Sleeve Hero Tee Black",105,0.0380952380952381,19,4
GGOEGAAX0342," Women's Vintage Hero Tee White",172,0.023255813953488372,14,4
GGOEGALB036516," Women's Scoop Neck Tee Black",23,0.17391304347826086,5,4
GGOEGALB034117," Women's Vintage Hero Tee Black",74,0.05405405405405406,13,4
GGOEGAYB068025," Youth Baseball Raglan Heather/Black",7,0.5714285714285714,14,4
GGOEGBRB013899," Laptop Backpack",178,0.016853932584269662,16,3
GGOEGFSR022099," Kick Ball",723,0.004149377593360996,5,3
GGOEGOBG023599,Colored Pencil Set,367,0.008174386920980926,13,3
GGOEGAAX0619," Infant Short Sleeve Tee Royal Blue",33,0.09090909090909091,11,3
GGOEGAAX0682," Youth Short Sleeve Tee Red",31,0.0967741935483871,14,3
GGOEGAFB035816," Men's  Zip Hoodie",41,0.07317073170731707,10,3
GGOEYAFB073113," Men's Fleece Hoodie Black",99,0.030303030303030304,11,3
GGOEGAXJ065555," Toddler Short Sleeve T-shirt Grey",93,0.03225806451612903,6,3
GGOEGBRJ037299," Alpine Style Backpack",272,0.011029411764705883,12,3
GGOEGHPB071610," Twill Cap",1755,0.0017094017094017094,5,3
GGOEGATB060214," Women's 1/4 Zip Performance Pullover Black",8,0.375,19,3
GGOEGADJ056813," Men's Watershed Full Zip Hoodie Grey",54,0.05555555555555555,9,3
GGOEGAAX0278," Women's Short Sleeve Hero Tee Black",121,0.024793388429752067,16,3
GGOEGAAX0357,Android Men's Vintage Tank,57,0.05263157894736842,10,3
GGOEGAAJ032814," Men's Long & Lean Tee Charcoal",295,0.010169491525423728,15,3
GGOEAAEH035215,Android Men's Vintage Henley,27,0.1111111111111111,19,3
GGOEAAAP081214,Android Men's Take Charge Short Sleeve Tee Purple,68,0.04411764705882353,8,3
GGOEGGOA017399,Maze Pen,324,0.009259259259259259,9,3
GGOEGAAX0651," Toddler Short Sleeve Tee Red",71,0.04225352112676056,18,3
GGOEGAAX0625,Android Infant Short Sleeve Tee Pewter,23,0.13043478260869565,16,3
GGOEGAAX0591," Men's Short Sleeve Performance Badge Tee Pewter",29,0.10344827586206896,15,3
GGOEGADB056915," Men's Performance Full Zip Jacket Black",70,0.04285714285714286,18,3
GGOEGAYB068024," Youth Baseball Raglan Heather/Black",21,0.14285714285714285,18,3
GGOEACCQ017299,Android Lunch Kit,163,0.018404907975460124,12,3
GGOEGAAX0602," Women's 1/4 Zip Performance Pullover Black",21,0.14285714285714285,12,3
GGOEGOCR078499," Spiral Leather Journal",449,0.0066815144766146995,9,3
GGOEGAWQ062250," Infant Short Sleeve Tee White",30,0.1,13,3
GGOEGAYB068056," Youth Baseball Raglan Heather/Black",2,1.5,13,3
GGOEGAAX0358," Men's  Zip Hoodie",235,0.01276595744680851,16,3
GGOEGALQ034215," Women's Vintage Hero Tee White",37,0.08108108108108109,19,3
GGOEGOAQ018099,Pen Pencil & Highlighter Set,1939,0.0015471892728210418,5,3
GGOEGAAX0568," Men's Watershed Full Zip Hoodie Grey",75,0.04,17,3
